bairro_origem,bairro_destino,Aresta,peso(distancia em km)
Aflitos,Espinheiro,R. Samuel Câmpelo,1.1
Aflitos,Derby,R. Quarenta e Oito,3
Aflitos,Graças,Av. Rui Barbosa,2.3
Aflitos,Jaqueira,R. Carneiro Viléla,1.3
Aflitos,Tamarineira,Av. Santos Dumont,1.6
Afogados,Areias,R. Dom Pedrito,4.8
Afogados,Bongi,Av. Manoel Gonçalves da Luz,2.9
Afogados,Cordeiro,Estr. dos Remédios,6.1
Afogados,Ilha Joana Bezerra,R. Cabo Eutrópio,3
Afogados,Ilha do Retiro,Av. Abdias de carvalho,4.8
Afogados,Ipsep,Av. Macarenhas de Moraes,5.2
Afogados,Mustardinha,R. Joana Francisca de Azevedo,2.4
Afogados,Prado,R. Vinte e Um de Abril,4.4
Água Fria,Beberibe,R. da Cutia,2.4
Água Fria,Linha do Tiro,R. Ladeira de Pedra,1.9
Água Fria,Porto da Madeira,R. São Sebastião,1.3
Água Fria,Rosarinho,R. Nazaré,2.9
Alto José Bonifácio,Alto José do Pinho,R. Alto José Bonifácio,1.5
Alto José Bonifácio,Brejo de Beberibe,Av. Ver.Otacílio Azevedo,2.3
Alto José Bonifácio,Bomba do Hemetério,R. Padre Oliveira,2
Alto José Bonifácio,Fundão,R. São Bento,4.5
Alto José Bonifácio,Linha do Tiro,R Uriel de Holanda,1.5
Alto José Bonifácio,Morro da Conceição,R Córrego do Ouro,0.9
Alto José Bonifácio,Tamarineira,R. Bomba do Hemetério,2.7
Alto José do Pinho,Alto do Mandu,R. Mandacaru,2.6
Alto José do Pinho,Morro da Conceição,R. Valeriano Lobo,1
Alto Santa Teresinha,Bomba do Hemetério,R. Chã de Alegria,1.3
Alto Santa Teresinha,Cajueiro,R. Eládio Camboim,3.6
Alto Santa Teresinha,Vasco da Gama,R. Córrego do Euclides,1.6
Alto do Mandu,Apipucos,R. Cianorte,1.2
Alto do Mandu,Casa Amarela,Rua Carolina,1.3
Alto do Mandu,Monteiro,R. Cametá,0.75
Alto do Mandu,Morro da Conceição,R. Morro da Conceição,1.8
Alto do Mandu,Tamarineira,R. Guimaraes peixoto,3.4
Apipucos,Casa Forte,R. Visc. de Ouro Preto,3.1
Apipucos,Dois Irmãos,R. Dois irmãos,1.5
Apipucos,Monteiro,R. de Apipucos,1.1
Apipucos,Sítio dos Pintos,Av. Luiz Antônio de Araújo,3.5
Areias,Barro,Av. Izabel de Góes,5.3
Areias,Caçote,Av. Capitão Gregório de Caldas,1.2
Areias,Estância,R. Cap. Jacinto da Cruz,2.1
Areias,Imbiribeira,Av. Ten. Felipe Bandeira de Melo,4
Arruda,Água Fria,R. Joao Uzeda Luna,1.4
Arruda,Campo Grande,R. Prudente de Moraes,2.1
Arruda,Peixinhos,R. Marcílio Dias,2.6
Arruda,Porto da Madeira,R. Carceres,2.4
Areias,Jiquiá,R. Antônio Carneiro,2.2
Barro,Caçote,"R. Desembargador Pedro Ribeiro Malta,",6.8
Barro,Cohab,Av. Doze de junho,1.3
Barro,Ibura,Av. Rio São Francisco,3.6
Barro,Sancho,Av. Conde Pereira Carneiro,5
Beberibe,Dois Unidos,Av. Leopoldino Canuto de Melo,3.4
Beberibe,Fundão,R. Florestópolis,1.7
Beberibe,Porto da Madeira,R. do Anil,1
Boa Viagem,Ibura,R. Hélio Brandão,6.8
Boa Viagem,Imbiribeira,R. Barão de Souza Leão,4.2
Boa Viagem,Ipsep,Av. Mascarenhas de Moraes,5.3
Boa Viagem,Pina,Av. Boa Viagem,5.3
Boa Vista,Cabanga,Av. Governador Carlos de Lima Cavalcanti,3.6
Boa Vista,Coelhos,R. Dos Coelhos,2
Boa Vista,Derby,R. Dom Bôsco,0.85
Boa Vista,Graças,R. Das Graças,1.6
Boa Vista,Ilha do Leite,R. Joaquim de Brito,1.6
Boa Vista,Paissandu,Av. Lins Petit,1.7
Boa Vista,Santo Amaro,R. Frei Cassimiro,3.3
Boa Vista,Santo Antônio,R. Visconde de Goiana,2.9
Boa Vista,Soledade,Av. Conde da Boa vista,1.1
Bomba do Hemetério,Cajueiro,R. Barão de Tracunhaém,2.5
Bomba do Hemetério,Fundão,R. Dr. Eudes da Costa,1.7
Bomba do Hemetério,Morro da Conceição,R. Corrego do Bartolomeu,3.6
Bomba do Hemetério,Vasco da Gama,R. Arlindo Cisneiros,2.5
Bongi,Engenho do Meio,R.Onze de fevereiro,3.8
Bongi,Mustardinha,R. Randolfo Pinto Ferreira,1
Bongi,Prado,R. Santa Edwirges,1.7
Bongi,San Martin,Av. General San Martin,2
Bongi,Torrões,Av. Consul Vilares Fragoso,3.2
Bongi,Zumbi,R. Gomes Taborda,2.9
Brasília Teimosa,Cabanga,Av. Engenheiro José Estelita,3.5
Brasília Teimosa,Ilha Joana Bezerra,Av. Antônio de Goes,3.8
Brasília Teimosa,Pina,Av. Domingos Ferreira,2.7
Brejo da Guabiraba,Passarinho,Estr. dos Passarinhos,4.2
Brejo da Guabiraba,Sítio dos Pintos,Córrego José Idalino,6.1
Brejo de Beberibe,Dois Unidos,Av. Chagas Ferreira,1.5
Brejo de Beberibe,Fundão,Av. Ver Otacilio Azevedo,5.5
Brejo de Beberibe,Linha do Tiro,Av. Vereador Otacilio Azevedo,2.5
Brejo de Beberibe,Macaxeira,R. Nova Descoberta,2.6
Brejo de Beberibe,Nova Descoberta,R. Corrego da Areia,1
Brejo de Beberibe,Passarinho,Av. Recuperação,5
Cabanga,Ilha Joana Bezerra,R. Dom Paulo II,2.4
Cabanga,Pina,Av. Herculano Bandeira,2.2
Cabanga,São José,R. Gen. Estilac Leal,2.7
