bairro,grau,ordem_ego,tamanho_ego,densidade_ego
Aflitos,6,7,17,0.8095238095238095
Afogados,10,11,24,0.43636363636363634
Alto José Bonifácio,7,8,16,0.5714285714285714
Alto José do Pinho,5,6,8,0.5333333333333333
Alto Santa Teresinha,3,4,5,0.8333333333333334
Alto do Mandu,6,7,13,0.6190476190476191
Apipucos,6,7,12,0.5714285714285714
Areias,9,10,24,0.5333333333333333
Arruda,8,9,21,0.5833333333333334
Barro,7,8,21,0.75
Beberibe,6,7,11,0.5238095238095238
Boa Viagem,4,5,8,0.8
Boa Viagem(Setúbal),4,5,7,0.7
Boa Vista,9,10,26,0.5777777777777777
Boa viagem,1,2,1,1.0
Bomba do Hemetério,7,8,16,0.5714285714285714
Bongi,10,11,29,0.5272727272727272
Brasília Teimosa,3,4,5,0.8333333333333334
Brejo da Guabiraba,6,7,10,0.47619047619047616
Brejo de Beberibe,9,10,21,0.4666666666666667
Cabanga,8,9,18,0.5
Cajueiro,5,6,7,0.4666666666666667
Campina do Barreto,5,6,10,0.6666666666666666
Campo Grande,7,8,17,0.6071428571428571
Casa Amarela,11,12,30,0.45454545454545453
Casa Forte,6,7,16,0.7619047619047619
Caxangá,7,8,17,0.6071428571428571
Caçote,11,12,33,0.5
Cidade Universitária,5,6,10,0.6666666666666666
Coelhos,7,8,19,0.6785714285714286
Cohab,6,7,15,0.7142857142857143
Coqueiral,7,8,16,0.5714285714285714
Cordeiro,9,10,23,0.5111111111111111
Curado,6,7,13,0.6190476190476191
Córrego do Jenipapo,8,9,19,0.5277777777777778
Derby,10,11,27,0.4909090909090909
Dois Irmãos,9,10,21,0.4666666666666667
Dois Unidos,8,9,17,0.4722222222222222
Encruzilhada,12,13,34,0.4358974358974359
Engenho do Meio,9,10,24,0.5333333333333333
Espinheiro,9,10,26,0.5777777777777777
Estância,8,9,22,0.6111111111111112
Fundão,9,10,20,0.4444444444444444
Graças,13,14,36,0.3956043956043956
Guabiraba,5,6,10,0.6666666666666666
Hipódromo,9,10,24,0.5333333333333333
Ibura,11,12,28,0.42424242424242425
Ilha Joana Bezerra,9,10,19,0.4222222222222222
Ilha do Leite,7,8,17,0.6071428571428571
Ilha do Retiro,8,9,19,0.5277777777777778
Imbiribeira,8,9,18,0.5
Ipsep,7,8,16,0.5714285714285714
Iputinga,9,10,20,0.4444444444444444
Jaqueira,9,10,28,0.6222222222222222
Jardim São Paulo,10,11,26,0.4727272727272727
Jiquiá,7,8,18,0.6428571428571429
Jordão,3,4,5,0.8333333333333334
Linha do Tiro,10,11,25,0.45454545454545453
Macaxeira,9,10,21,0.4666666666666667
Madalena,8,9,18,0.5
Mangabeira,4,5,8,0.8
Mangueira,6,7,16,0.7619047619047619
Monteiro,12,13,36,0.46153846153846156
Morro da Conceição,11,12,26,0.3939393939393939
Mustardinha,6,7,16,0.7619047619047619
Nova Descoberta,11,12,29,0.4393939393939394
Paissandu,8,9,23,0.6388888888888888
Parnamirim,9,10,29,0.6444444444444445
Passarinho,5,6,10,0.6666666666666666
Pau-Ferro,5,6,9,0.6
Peixinhos,5,6,12,0.8
Pina,4,5,6,0.6
Ponto de Parada,8,9,18,0.5
Porto da Madeira,7,8,17,0.6071428571428571
Poço,0,1,0,0.0
Poço da Panela,7,8,20,0.7142857142857143
Prado,8,9,20,0.5555555555555556
Recife,4,5,8,0.8
Rosarinho,8,9,22,0.6111111111111112
San Martin,8,9,19,0.5277777777777778
Sancho,9,10,27,0.6
Santana,7,8,18,0.6428571428571429
Santo Amaro,11,12,29,0.4393939393939394
Santo Antônio,7,8,19,0.6785714285714286
Soledade,5,6,11,0.7333333333333333
São José,6,7,14,0.6666666666666666
Sítio dos Pintos,6,7,13,0.6190476190476191
Tamarineira,14,15,41,0.3904761904761905
Tejipió,5,6,9,0.6
Torre,6,7,16,0.7619047619047619
Torreão,6,7,12,0.5714285714285714
Torrões,6,7,11,0.5238095238095238
Totó,2,3,3,1.0
Vasco da Gama,5,6,10,0.6666666666666666
Várzea,6,7,12,0.5714285714285714
Zumbi,8,9,20,0.5555555555555556
Água Fria,7,8,16,0.5714285714285714
