bairro,grau
Tamarineira,14
Graças,13
Encruzilhada,12
Monteiro,12
Casa Amarela,11
Caçote,11
Ibura,11
Morro da Conceição,11
Nova Descoberta,11
Santo Amaro,11
Afogados,10
Bongi,10
Derby,10
Jardim São Paulo,10
Linha do Tiro,10
Areias,9
Boa Vista,9
Brejo de Beberibe,9
Cordeiro,9
Dois Irmãos,9
Engenho do Meio,9
Espinheiro,9
Hipódromo,9
Ilha Joana Bezerra,9
Iputinga,9
Jaqueira,9
Macaxeira,9
Parnamirim,9
Sancho,9
Arruda,8
Cabanga,8
Córrego do Jenipapo,8
Dois Unidos,8
Estância,8
Fundão,8
Ilha do Retiro,8
Imbiribeira,8
Madalena,8
Paissandu,8
Ponto de Parada,8
Prado,8
Rosarinho,8
San Martin,8
Zumbi,8
Alto José Bonifácio,7
Barro,7
Bomba do Hemetério,7
Campo Grande,7
Caxangá,7
Coelhos,7
Coqueiral,7
Ilha do Leite,7
Ipsep,7
Jiquiá,7
Porto da Madeira,7
Poço da Panela,7
Santana,7
Santo Antônio,7
Água Fria,7
Aflitos,6
Alto do Mandu,6
Apipucos,6
Beberibe,6
Brejo da Guabiraba,6
Casa Forte,6
Cohab,6
Curado,6
Mangueira,6
Mustardinha,6
São José,6
Sítio dos Pintos,6
Torre,6
Torreão,6
Torrões,6
Várzea,6
Alto José do Pinho,5
Cajueiro,5
Campina do Barreto,5
Cidade Universitária,5
Guabiraba,5
Passarinho,5
Pau-Ferro,5
Peixinhos,5
Soledade,5
Tejipió,5
Vasco da Gama,5
Boa Viagem,4
Boa Viagem(Setúbal),4
Mangabeira,4
Pina,4
Recife,4
Alto Santa Teresinha,3
Brasília Teimosa,3
Jordão,3
Totó,2
Boa viagem,1
Fundão ,1
